family,level,kernel,time_aug,basepoint,lead_lag,normalise,path_scale,actions,n_steps,score_s,us_per_step,eval_s,best_TWA,TPR,TNR,at,auroc,score_cv,task,stage,scaling,theta
sigmmd,1,lin,True,False,False,False,1.0,position,10910,8.02,734.8,1.2,0.5542110204696655,0.2676770091056824,0.8725489974021912,ct_quantile/q0.9/w1,0.5809566250742721,1.4698646165310545,push_t,scale,raw,0.0099
sigmmd,2,lin,True,False,False,False,1.0,position,10910,7.65,700.8,1.2,0.561244010925293,0.797980010509491,0.6470590233802795,tvt_quantile/q0.93/w35,0.6072489601901366,3.6650899999247772,push_t,scale,raw,0.0099
sigmmd,3,lin,True,False,False,False,1.0,position,10910,7.89,723.4,1.1,0.570052981376648,0.8383839726448059,0.5882350206375122,tvt_quantile/q0.9/w35,0.617448999801941,6.740894640265788,push_t,scale,raw,0.0099
sigmmd,4,lin,True,False,False,False,1.0,position,10910,9.54,874.2,1.2,0.5743680000305176,0.7878789901733398,0.6862750053405762,tvt_quantile/q0.94/w20,0.6228461081402257,11.979063981879687,push_t,scale,raw,0.0099
sigmmd,5,lin,True,False,False,False,1.0,position,10910,10.57,968.9,1.2,0.5736299753189087,0.7878789901733398,0.6764709949493408,tvt_quantile/q0.93/w20,0.629778173895821,20.001795974027136,push_t,scale,raw,0.0099
sigmmd,1,lin,True,False,False,False,0.0099,position,10910,6.24,571.6,1.2,0.5542110204696655,0.2676770091056824,0.8725489974021912,ct_quantile/q0.9/w1,0.5809566250742721,1.469864640410503,push_t,scale,tv_norm,0.0099
sigmmd,2,lin,True,False,False,False,0.0099,position,10910,6.75,618.4,1.2,0.554639995098114,0.6414139866828918,0.7450979948043823,ct_quantile/q0.93/w40,0.60051495345613,2.5147767396548373,push_t,scale,tv_norm,0.0099
sigmmd,3,lin,True,False,False,False,0.0099,position,10910,8.13,745.2,1.2,0.5613769888877869,0.7878789901733398,0.7058820128440857,tvt_quantile/q0.97/w35,0.6117052881758764,4.326581489302275,push_t,scale,tv_norm,0.0099
sigmmd,4,lin,True,False,False,False,0.0099,position,10910,10.15,930.6,1.2,0.5611479878425598,0.797980010509491,0.7254899740219116,tvt_quantile/q0.98/w35,0.6162111309170133,6.972761229047815,push_t,scale,tv_norm,0.0099
sigmmd,5,lin,True,False,False,False,0.0099,position,10910,10.97,1005.1,1.2,0.5644760131835938,0.8131309747695923,0.6274510025978088,tvt_quantile/q0.91/w35,0.6176965735789266,10.599247807878182,push_t,scale,tv_norm,0.0099
sigmmd,1,lin,True,False,False,False,1.0,position,67643,15.69,232.0,3.5,0.6249740123748779,0.9773200154304504,0.7682539820671082,tvt_cp_band/q0.99/w1,0.5826738667975782,1.3591606854954474,stacking,scale,raw,40.4673
sigmmd,2,lin,True,False,False,False,1.0,position,67643,16.92,250.1,3.7,0.6241130232810974,0.9793810248374939,0.7619050145149231,tvt_cp_band/q0.99/w1,0.5826607756504663,1.3571759712683675,stacking,scale,raw,40.4673
sigmmd,3,lin,True,False,False,False,1.0,position,67643,16.09,237.9,3.6,0.6238179802894592,0.9773200154304504,0.7619050145149231,tvt_cp_band/q0.99/w1,0.5826378661430208,1.3568739187797503,stacking,scale,raw,40.4673
sigmmd,4,lin,True,False,False,False,1.0,position,67643,16.66,246.3,3.5,0.6238179802894592,0.9773200154304504,0.7619050145149231,tvt_cp_band/q0.99/w1,0.5826378661430207,1.3567609594960768,stacking,scale,raw,40.4673
sigmmd,5,lin,True,False,False,False,1.0,position,67643,16.87,249.3,3.5,0.6241040229797363,0.9793810248374939,0.7619050145149231,tvt_cp_band/q0.99/w1,0.5826640484372443,1.3568892355515076,stacking,scale,raw,40.4673
sigmmd,1,lin,True,False,False,False,40.4673,position,67643,17.57,259.7,3.5,0.6249740123748779,0.9773200154304504,0.7682539820671082,tvt_cp_band/q0.99/w1,0.5826738667975782,1.3590756143761724,stacking,scale,tv_norm,40.4673
sigmmd,2,lin,True,False,False,False,40.4673,position,67643,15.88,234.8,3.5,0.6165019869804382,0.9690719842910767,0.7396829724311829,tvt_cp_band/q0.99/w1,0.5089903452790052,1.4294451109434618,stacking,scale,tv_norm,40.4673
sigmmd,3,lin,True,False,False,False,40.4673,position,67643,15.22,225.1,3.5,0.6063140034675598,0.9670100212097168,0.7111110091209412,tvt_cp_band/q0.99/w1,0.5120536737031582,1.698714573240506,stacking,scale,tv_norm,40.4673
sigmmd,4,lin,True,False,False,False,40.4673,position,67643,14.31,211.6,3.5,0.6001620292663574,0.9649479985237122,0.6952379941940308,tvt_cp_band/q0.99/w1,0.510057273768614,1.8740352804264209,stacking,scale,tv_norm,40.4673
sigmmd,5,lin,True,False,False,False,40.4673,position,67643,14.79,218.6,3.5,0.5998830199241638,0.9649479985237122,0.6920629739761353,tvt_cp_band/q0.99/w1,0.5101881852397316,1.9721439896394406,stacking,scale,tv_norm,40.4673
