task,method,train_episodes,train_steps,test_episodes,test_steps,fit_s,offline_s,online_ms,TWA,Accuracy,Det. Time,Window,ThresholdStyle,single_step_ms,load,train,fit,score_calibration,score_test,thresholds,metrics,window_calibration,window_test
pretzel,similarity,8,414,20,1144,0.6380450729920993,0.6728467519278636,0.073696413256311,0.5628990054130554,0.6599999785423278,0.1942030042409896,2,ct_quantile,,0.000187368976185,0.0,0.6378577040159144,0.047295464988565,0.1117508489987813,0.1859571300155948,0.3033015440159943,0.0124937860528007,0.0274421522335615
pretzel,similarity,10,517,20,1144,1.7736777470272498,1.8699263430607969,0.07762813651539431,0.644927978515625,0.6499999761581421,0.0101450001820921,40,tvt_quantile,,0.0004901770153082,0.0,1.7731875700119415,0.1212853640026878,0.1188442150014452,0.2132352280023042,0.3289037740032654,0.0250367679691407,0.0300376268278341
pretzel,tc,2,103,20,1144,0.0002582670131231766,0.09389574898523267,0.8983593923314491,0.5304350256919861,0.550000011920929,0.3913039863109588,11,ct_quantile,,0.000252055004239,0.0,6.212008884176612e-06,0.0961799020005855,1.0555321449937765,0.1608145289937965,0.3089536899933591,0.002542420028476,0.0278090001665987
pretzel,tc,4,205,20,1144,0.00023060297826296217,0.19467162902583357,0.9046707996753389,0.600724995136261,0.699999988079071,0.1985509991645813,2,tvt_cp_band,,0.0002244619827251,0.0,6.140995537862182e-06,0.1994954399997368,1.0627211459795944,0.1679949350073002,0.3095301360008307,0.0050544139521662,0.0277777511510066
pretzel,tc,6,311,20,1144,0.00023075801436785707,0.29122710894444026,0.9144834137488713,0.5833330154418945,0.6000000238418579,0.0333329997956752,35,tvt_quantile,,0.0002251080004498,0.0,5.650013918057084e-06,0.298691485018935,1.0742532160074916,0.1771203360112849,0.3099869779834989,0.0076951340888626,0.0280841906787827
pretzel,tc,8,414,20,1144,0.00024050698266357828,0.38442596499226045,0.9027310419175204,0.6456519961357117,0.75,0.2608700096607208,1,tvt_cp_band,,0.0002345809771213,0.0,5.92600554227829e-06,0.3944749619986396,1.0608423319936264,0.1886108379985671,0.3002898280101362,0.0102895039890427,0.028118020039983
pretzel,tc,10,517,20,1144,0.0002723550132940655,0.5114855636202265,1.442326025171751,0.5984055161476135,0.6150000095367432,0.0331880997866392,30,tvt_quantile,,0.0002661519974935,0.0,6.203015800565481e-06,0.5247941369889304,1.6851971830183174,0.2051768949895631,0.3398605860129464,0.013580928381998,0.0351762102218344
push_chair,entropy,3,16,20,193,0.035791410016827195,0.09272730586235409,3.7732289348839942,0.6966669917106628,0.8300000190734863,0.2666670083999634,11,ct_quantile,,0.0002083870058413,0.0,0.0355830230109859,0.0586645489966031,0.7405700240051374,0.0386184919916559,0.2810783140012063,0.0017286531510762,0.0123368395725265
push_chair,entropy,5,27,20,193,0.0358054389944299,0.1238458030857145,3.5542668667658104,0.8111903011798859,0.9699999928474426,0.3176193952560425,11,ct_quantile,,0.0002127169864252,0.0,0.0355927220080047,0.090862539014779,0.6980143529945053,0.0415654810203705,0.2675669809977989,0.0028221749234944,0.0120408477087039
push_chair,entropy,7,37,20,193,0.0333541040017735,0.1595305181108415,3.65391784299942,0.833809208869934,1.0,0.3323805868625641,11,tvt_cp_band,,0.0002221600152552,0.0,0.0331319439865183,0.130148021999048,0.7176069830020424,0.0450614780129399,0.2805300439940765,0.00397160788998,0.0124008393031544
push_chair,entropy,10,49,20,193,0.1095434759918134,0.3944938188942615,5.806144403379381,0.8326187074184418,1.0,0.3347615927457809,11,tvt_cp_band,,0.0002850299933925,0.0,0.1092584459984209,0.2927618570101913,1.1425646239949856,0.0680105260107666,0.4287479060003534,0.0078115141077432,0.0219787541427649
push_chair,kern_cd_flat,3,16,20,193,0.1165941239742095,0.1757135900552383,1.344153540235476,0.8573806881904602,0.9749999940395356,0.2404229998588562,1,ct_quantile,0.4954739799723029,0.0002158219867851,0.0,0.1163783019874244,0.0609182810003403,0.2717400460096542,0.0383141850179526,0.2596284059982281,0.0017988149193115,0.0123184127442073
push_chair,kern_cd_flat,5,27,20,193,0.12716587402974242,0.26803782102069795,0.877196809012742,0.9069049179553984,1.0,0.1861901998519897,11,ct_quantile,0.4954739799723029,0.0002333720040041,0.0,0.1269325020257383,0.1455560800095554,0.1880755079910159,0.0467711630044505,0.2666431730031036,0.0046841330185998,0.0187765238515567
push_chair,kern_cd_flat,7,37,20,193,0.1413403049809857,0.3191994790395255,1.2225107966326274,0.8935716986656189,0.9799999952316284,0.1728570997714996,11,ct_quantile,0.4954739799723029,0.0002411629830021,0.0,0.1410991419979836,0.183090169011848,0.2485576640174258,0.0453197940078098,0.2561863799928687,0.0052309949533082,0.0126130802673287
push_chair,kern_cd_flat,10,49,20,193,0.2326493689906783,0.577117391891079,1.0915659283591832,0.8802383065223693,0.9649999916553498,0.1695237010717392,11,ct_quantile,0.4954739799723029,0.0002628079964779,0.0,0.2323865609942004,0.3505214619799517,0.2282830160111189,0.0495131950010545,0.2718385439948179,0.006053439079551,0.0176107918377965
push_chair,kern_cd_flat_eploo,3,16,20,193,0.22104099200805638,0.259434580017114,0.969347849076884,0.8595235884189606,0.9749999940395356,0.2434522002935409,1,ct_quantile,,0.000200525013497,0.0,0.2208404669945594,0.0401478769781533,0.2064352449961006,0.0386798290128354,0.3509607980086002,0.0017542889690957,0.019351110124262
